31-03-2026 19:00:23 | GET | Cafeteria-API/produtos
31-03-2026 19:00:27 | GET | Cafeteria-API/produtos
31-03-2026 19:00:30 | GET | Cafeteria-API/produtos
31-03-2026 19:01:08 | GET | Cafeteria-API/produtos
31-03-2026 19:01:11 | GET | Cafeteria-API/produtos
31-03-2026 19:01:16 | GET | Cafeteria-API/produtos
31-03-2026 19:01:17 | GET | Cafeteria-API/produtos
31-03-2026 19:01:20 | GET | Cafeteria-API/produtos
31-03-2026 19:01:25 | GET | Cafeteria-API/produtos
31-03-2026 19:01:26 | GET | Cafeteria-API/produtos
31-03-2026 19:01:43 | GET | Cafeteria-API/produtos
31-03-2026 19:01:46 | GET | Cafeteria-API/produtos
31-03-2026 19:01:52 | GET | Cafeteria-API/produtos
31-03-2026 19:01:56 | GET | Cafeteria-API/produtos
31-03-2026 19:01:58 | GET | Cafeteria-API/produtos
31-03-2026 19:03:11 | POST | Cafeteria-API/produtos
31-03-2026 19:04:51 | POST | Cafeteria-API/produtos
31-03-2026 19:06:42 | GET | Cafeteria-API/produtos
31-03-2026 19:06:45 | GET | Cafeteria-API/produtos
31-03-2026 19:08:36 | GET | Cafeteria-API/produtos
31-03-2026 19:09:14 | GET | Cafeteria-API/produtos
31-03-2026 19:09:17 | GET | Cafeteria-API/produtos
31-03-2026 19:09:19 | GET | Cafeteria-API/produtos
31-03-2026 19:09:21 | GET | Cafeteria-API/produtos
31-03-2026 19:09:26 | GET | Cafeteria-API/produtos
31-03-2026 19:09:29 | GET | Cafeteria-API/produtos
31-03-2026 19:09:34 | GET | Cafeteria-API/produtos
31-03-2026 19:09:41 | GET | Cafeteria-API/produtos
31-03-2026 19:10:03 | GET | Cafeteria-API/produtos
31-03-2026 19:10:07 | GET | Cafeteria-API/produtos
31-03-2026 19:10:10 | GET | Cafeteria-API/produtos
31-03-2026 19:10:17 | GET | Cafeteria-API/produtos
31-03-2026 19:10:19 | GET | Cafeteria-API/produtos
31-03-2026 19:10:30 | GET | Cafeteria-API/produtos
31-03-2026 19:10:33 | GET | Cafeteria-API/produtos
31-03-2026 19:11:03 | GET | Cafeteria-API/produtos
31-03-2026 19:11:14 | GET | Cafeteria-API/produtos
31-03-2026 19:13:37 | GET | Cafeteria-API/produtos
31-03-2026 19:13:50 | GET | Cafeteria-API/produtos
31-03-2026 19:14:14 | GET | Cafeteria-API/produtos
31-03-2026 19:14:15 | GET | Cafeteria-API/produtos
31-03-2026 19:14:16 | GET | Cafeteria-API/produtos
31-03-2026 19:16:17 | GET | Cafeteria-API/produtos
31-03-2026 19:16:19 | POST | cafeteria-api/produtos
31-03-2026 19:16:20 | POST | cafeteria-api/produtos
31-03-2026 19:16:20 | POST | cafeteria-api/produtos
31-03-2026 19:16:20 | POST | cafeteria-api/produtos
31-03-2026 19:16:20 | POST | cafeteria-api/produtos
31-03-2026 19:16:21 | POST | cafeteria-api/produtos
31-03-2026 19:16:32 | POST | cafeteria-api/produtos
31-03-2026 19:17:12 | GET | Cafeteria-API/produtos
31-03-2026 19:17:25 | GET | Cafeteria-API/produtos
31-03-2026 19:17:47 | POST | cafeteria-api/produtos
31-03-2026 19:17:48 | POST | cafeteria-api/produtos
31-03-2026 19:17:48 | POST | cafeteria-api/produtos
31-03-2026 19:19:15 | POST | cafeteria-api/produtos
31-03-2026 19:19:15 | POST | cafeteria-api/produtos
31-03-2026 19:19:15 | POST | cafeteria-api/produtos
31-03-2026 19:19:15 | POST | cafeteria-api/produtos
31-03-2026 19:21:33 | GET | Cafeteria-API/produtos
31-03-2026 19:21:35 | GET | Cafeteria-API/produtos
31-03-2026 19:21:35 | GET | Cafeteria-API/produtos
31-03-2026 19:21:35 | GET | Cafeteria-API/produtos
31-03-2026 19:21:35 | GET | Cafeteria-API/produtos
31-03-2026 19:21:43 | GET | Cafeteria-API/produtos
31-03-2026 19:22:38 | GET | Cafeteria-API/produtos
31-03-2026 19:22:44 | POST | cafeteria-api/produtos
31-03-2026 19:22:44 | POST | cafeteria-api/produtos
31-03-2026 19:22:44 | POST | cafeteria-api/produtos
31-03-2026 19:22:44 | POST | cafeteria-api/produtos
31-03-2026 19:22:45 | POST | cafeteria-api/produtos
31-03-2026 19:23:09 | POST | cafeteria-api/produtos
31-03-2026 19:23:15 | POST | cafeteria-api/produtos
31-03-2026 19:23:15 | POST | cafeteria-api/produtos
31-03-2026 19:23:15 | POST | cafeteria-api/produtos
31-03-2026 19:23:41 | POST | Cafeteria-API/produtos
31-03-2026 19:24:42 | GET | Cafeteria-API/produtos
31-03-2026 19:24:46 | POST | cafeteria-api/produtos
31-03-2026 19:24:56 | POST | Cafeteria-API/produtos
31-03-2026 19:25:55 | GET | Cafeteria-API/produtos
31-03-2026 19:26:01 | POST | Cafeteria-API/produtos
31-03-2026 19:26:32 | POST | Cafeteria-API/produtos
31-03-2026 19:26:52 | POST | Cafeteria-API/produtos
31-03-2026 19:27:38 | POST | Cafeteria-API/produtos
31-03-2026 19:28:47 | POST | Cafeteria-API/produtos
31-03-2026 19:29:30 | POST | Cafeteria-API/produtos
31-03-2026 19:30:02 | POST | Cafeteria-API/produtos
31-03-2026 19:30:08 | GET | Cafeteria-API/produtos
31-03-2026 19:31:27 | GET | Cafeteria-API/produtos
31-03-2026 19:31:30 | GET | Cafeteria-API/produtos
31-03-2026 19:32:02 | GET | Cafeteria-API/produtos
31-03-2026 19:32:05 | GET | Cafeteria-API/produtos
31-03-2026 19:32:09 | GET | Cafeteria-API/produtos
31-03-2026 19:32:15 | GET | Cafeteria-API/produtos
31-03-2026 19:32:55 | GET | Cafeteria-API/produtos
31-03-2026 19:32:58 | GET | Cafeteria-API/produtos
31-03-2026 19:33:03 | GET | Cafeteria-API/produtos
31-03-2026 19:34:15 | GET | Cafeteria-API/produtos
31-03-2026 19:34:20 | GET | Cafeteria-API/produtos
31-03-2026 19:34:24 | GET | Cafeteria-API/produtos
31-03-2026 19:34:45 | GET | Cafeteria-API/produtos
